item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
1C x 4 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx4 A2XWY;Aluminium;XLPE/EPR;9.5;0.134;0;0.043;Under Ground;28.5;0.402;28.5;0.402;0.38;
1C x 4 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx4 A2XWY;Aluminium;XLPE/EPR;9.5;0.134;0;0.038;Under Ground;28.5;0.402;28.5;0.402;0.38;
1C x 4 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx4 A2XWY;Aluminium;XLPE/EPR;9.5;0.134;0;0.037;Under Ground;28.5;0.402;28.5;0.402;0.38;
1C x 6 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx6 A2XWY;Aluminium;XLPE/EPR;5.91;0.125;0;0.055;Under Ground;17.73;0.375;17.73;0.375;0.57;
1C x 6 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx6 A2XWY;Aluminium;XLPE/EPR;5.91;0.125;0;0.05;Under Ground;17.73;0.375;17.73;0.375;0.57;
1C x 6 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx6 A2XWY;Aluminium;XLPE/EPR;5.91;0.125;0;0.047;Under Ground;17.73;0.375;17.73;0.375;0.57;
1C x 10 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx10 A2XWY;Aluminium;XLPE/EPR;3.95;0.131;340;0.069;Under Ground;11.85;0.393;11.85;0.393;0.95;
1C x 10 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx10 A2XWY;Aluminium;XLPE/EPR;3.95;0.131;340;0.064;Under Ground;11.85;0.393;11.85;0.393;0.95;
1C x 10 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx10 A2XWY;Aluminium;XLPE/EPR;3.95;0.131;340;0.059;Under Ground;11.85;0.393;11.85;0.393;0.95;
1C x 16 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx16 A2XWY;Aluminium;XLPE/EPR;2.44;0.124;400;0.089;Under Ground;7.32;0.372;7.32;0.372;1.51;
1C x 16 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx16 A2XWY;Aluminium;XLPE/EPR;2.44;0.124;400;0.084;Under Ground;7.32;0.372;7.32;0.372;1.51;
1C x 16 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx16 A2XWY;Aluminium;XLPE/EPR;2.44;0.124;400;0.076;Under Ground;7.32;0.372;7.32;0.372;1.51;
1C x 25 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx25 A2XWY;Aluminium;XLPE/EPR;1.54;0.117;420;0.115;Under Ground;4.62;0.351;4.62;0.351;2.36;
1C x 25 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx25 A2XWY;Aluminium;XLPE/EPR;1.54;0.117;420;0.112;Under Ground;4.62;0.351;4.62;0.351;2.36;
1C x 25 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx25 A2XWY;Aluminium;XLPE/EPR;1.54;0.117;420;0.098;Under Ground;4.62;0.351;4.62;0.351;2.36;
1C x 35 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx35 A2XWY;Aluminium;XLPE/EPR;1.11;0.112;470;0.137;Under Ground;3.33;0.336;3.33;0.336;3.31;
1C x 35 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx35 A2XWY;Aluminium;XLPE/EPR;1.11;0.112;470;0.137;Under Ground;3.33;0.336;3.33;0.336;3.31;
1C x 35 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx35 A2XWY;Aluminium;XLPE/EPR;1.11;0.112;470;0.116;Under Ground;3.33;0.336;3.33;0.336;3.31;
1C x 50 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx50 A2XWY;Aluminium;XLPE/EPR;0.82;0.108;500;0.161;Under Ground;2.46;0.324;2.46;0.324;4.73;
1C x 50 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx50 A2XWY;Aluminium;XLPE/EPR;0.82;0.108;500;0.165;Under Ground;2.46;0.324;2.46;0.324;4.73;
1C x 50 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx50 A2XWY;Aluminium;XLPE/EPR;0.82;0.108;500;0.137;Under Ground;2.46;0.324;2.46;0.324;4.73;
1C x 70 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx70 A2XWY;Aluminium;XLPE/EPR;0.568;0.1;550;0.198;Under Ground;1.704;0.3;1.704;0.3;6.62;
1C x 70 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx70 A2XWY;Aluminium;XLPE/EPR;0.568;0.1;550;0.209;Under Ground;1.704;0.3;1.704;0.3;6.62;
1C x 70 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx70 A2XWY;Aluminium;XLPE/EPR;0.568;0.1;550;0.168;Under Ground;1.704;0.3;1.704;0.3;6.62;
1C x 95 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx95 A2XWY;Aluminium;XLPE/EPR;0.41;0.099;620;0.243;Under Ground;1.23;0.297;1.23;0.297;8.98;
1C x 95 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx95 A2XWY;Aluminium;XLPE/EPR;0.41;0.099;620;0.264;Under Ground;1.23;0.297;1.23;0.297;8.98;
1C x 95 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx95 A2XWY;Aluminium;XLPE/EPR;0.41;0.099;620;0.207;Under Ground;1.23;0.297;1.23;0.297;8.98;
1C x 120 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx120 A2XWY;Aluminium;XLPE/EPR;0.325;0.0951;660;0.276;Under Ground;0.975;0.2853;0.975;0.2853;11.34;
1C x 120 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx120 A2XWY;Aluminium;XLPE/EPR;0.325;0.0951;660;0.308;Under Ground;0.975;0.2853;0.975;0.2853;11.34;
1C x 120 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx120 A2XWY;Aluminium;XLPE/EPR;0.325;0.0951;660;0.235;Under Ground;0.975;0.2853;0.975;0.2853;11.34;
1C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx150 A2XWY;Aluminium;XLPE/EPR;0.264;0.0936;640;0.308;Under Ground;0.792;0.2808;0.792;0.2808;14.18;
1C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx150 A2XWY;Aluminium;XLPE/EPR;0.264;0.0936;640;0.35;Under Ground;0.792;0.2808;0.792;0.2808;14.18;
1C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx150 A2XWY;Aluminium;XLPE/EPR;0.264;0.0936;640;0.262;Under Ground;0.792;0.2808;0.792;0.2808;14.18;
1C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx185 A2XWY;Aluminium;XLPE/EPR;0.211;0.0913;660;0.349;Under Ground;0.633;0.2739;0.633;0.2739;17.48;
1C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx185 A2XWY;Aluminium;XLPE/EPR;0.211;0.0913;660;0.406;Under Ground;0.633;0.2739;0.633;0.2739;17.48;
1C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx185 A2XWY;Aluminium;XLPE/EPR;0.211;0.0913;660;0.297;Under Ground;0.633;0.2739;0.633;0.2739;17.48;
1C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx240 A2XWY;Aluminium;XLPE/EPR;0.161;0.0887;700;0.404;Under Ground;0.483;0.2661;0.483;0.2661;22.68;
1C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx240 A2XWY;Aluminium;XLPE/EPR;0.161;0.0887;700;0.48;Under Ground;0.483;0.2661;0.483;0.2661;22.68;
1C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx240 A2XWY;Aluminium;XLPE/EPR;0.161;0.0887;700;0.343;Under Ground;0.483;0.2661;0.483;0.2661;22.68;
1C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx300 A2XWY;Aluminium;XLPE/EPR;0.129;0.0868;740;0.454;Under Ground;0.387;0.2604;0.387;0.2604;28.35;
1C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx300 A2XWY;Aluminium;XLPE/EPR;0.129;0.0868;740;0.551;Under Ground;0.387;0.2604;0.387;0.2604;28.35;
1C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx300 A2XWY;Aluminium;XLPE/EPR;0.129;0.0868;740;0.386;Under Ground;0.387;0.2604;0.387;0.2604;28.35;
1C x 400 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx400 A2XWY;Aluminium;XLPE/EPR;0.101;0.0861;750;0.518;Under Ground;0.303;0.2583;0.303;0.2583;37.8;
1C x 400 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx400 A2XWY;Aluminium;XLPE/EPR;0.101;0.0861;750;0.647;Under Ground;0.303;0.2583;0.303;0.2583;37.8;
1C x 400 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx400 A2XWY;Aluminium;XLPE/EPR;0.101;0.0861;750;0.44;Under Ground;0.303;0.2583;0.303;0.2583;37.8;
1C x 500 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx500 A2XWY;Aluminium;XLPE/EPR;0.0786;0.0843;780;0.588;Under Ground;0.2358;0.2529;0.2358;0.2529;47.25;
1C x 500 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx500 A2XWY;Aluminium;XLPE/EPR;0.0786;0.0843;780;0.751;Under Ground;0.2358;0.2529;0.2358;0.2529;47.25;
1C x 500 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx500 A2XWY;Aluminium;XLPE/EPR;0.0786;0.0843;780;0.5;Under Ground;0.2358;0.2529;0.2358;0.2529;47.25;
1C x 630 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx630 A2XWY;Aluminium;XLPE/EPR;0.0615;0.0829;820;0.663;Under Ground;0.1845;0.2487;0.1845;0.2487;59.54;
1C x 630 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx630 A2XWY;Aluminium;XLPE/EPR;0.0615;0.0829;820;0.868;Under Ground;0.1845;0.2487;0.1845;0.2487;59.54;
1C x 630 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx630 A2XWY;Aluminium;XLPE/EPR;0.0615;0.0829;820;0.564;Under Ground;0.1845;0.2487;0.1845;0.2487;59.54;
1C x 800 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx800 A2XWY;Aluminium;XLPE/EPR;0.0488;0.0819;830;0.74;Under Ground;0.1464;0.2457;0.1464;0.2457;75.6;
1C x 800 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx800 A2XWY;Aluminium;XLPE/EPR;0.0488;0.0819;830;0.992;Under Ground;0.1464;0.2457;0.1464;0.2457;75.6;
1C x 800 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx800 A2XWY;Aluminium;XLPE/EPR;0.0488;0.0819;830;0.629;Under Ground;0.1464;0.2457;0.1464;0.2457;75.6;
1C x 1000 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Ground);1Cx1000 A2XWY;Aluminium;XLPE/EPR;0.0372;0.082;870;0.812;Under Ground;0.1116;0.246;0.1116;0.246;94.5;
1C x 1000 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Air);1Cx1000 A2XWY;Aluminium;XLPE/EPR;0.0372;0.082;870;1.117;Under Ground;0.1116;0.246;0.1116;0.246;94.5;
1C x 1000 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 1C (In Duct);1Cx1000 A2XWY;Aluminium;XLPE/EPR;0.0372;0.082;870;0.69;Under Ground;0.1116;0.246;0.1116;0.246;94.5;
1C x 4 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx4 2XWY;Copper;XLPE/EPR;5.88;0.134;0;0.054;Under Ground;17.64;0.402;17.64;0.402;0.57;
1C x 4 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx4 2XWY;Copper;XLPE/EPR;5.88;0.134;0;0.048;Under Ground;17.64;0.402;17.64;0.402;0.57;
1C x 4 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx4 2XWY;Copper;XLPE/EPR;5.88;0.134;0;0.046;Under Ground;17.64;0.402;17.64;0.402;0.57;
1C x 6 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx6 2XWY;Copper;XLPE/EPR;3.93;0.125;0;0.067;Under Ground;11.79;0.375;11.79;0.375;0.86;
1C x 6 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx6 2XWY;Copper;XLPE/EPR;3.93;0.125;0;0.061;Under Ground;11.79;0.375;11.79;0.375;0.86;
1C x 6 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx6 2XWY;Copper;XLPE/EPR;3.93;0.125;0;0.057;Under Ground;11.79;0.375;11.79;0.375;0.86;
1C x 10 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx10 2XWY;Copper;XLPE/EPR;2.33;0.131;340;0.09;Under Ground;6.99;0.393;6.99;0.393;1.43;
1C x 10 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx10 2XWY;Copper;XLPE/EPR;2.33;0.131;340;0.083;Under Ground;6.99;0.393;6.99;0.393;1.43;
1C x 10 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx10 2XWY;Copper;XLPE/EPR;2.33;0.131;340;0.076;Under Ground;6.99;0.393;6.99;0.393;1.43;
1C x 16 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx16 2XWY;Copper;XLPE/EPR;1.47;0.124;400;0.115;Under Ground;4.41;0.372;4.41;0.372;2.29;
1C x 16 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx16 2XWY;Copper;XLPE/EPR;1.47;0.124;400;0.108;Under Ground;4.41;0.372;4.41;0.372;2.29;
1C x 16 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx16 2XWY;Copper;XLPE/EPR;1.47;0.124;400;0.098;Under Ground;4.41;0.372;4.41;0.372;2.29;
1C x 25 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx25 2XWY;Copper;XLPE/EPR;0.93;0.117;420;0.148;Under Ground;2.79;0.351;2.79;0.351;3.58;
1C x 25 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx25 2XWY;Copper;XLPE/EPR;0.93;0.117;420;0.144;Under Ground;2.79;0.351;2.79;0.351;3.58;
1C x 25 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx25 2XWY;Copper;XLPE/EPR;0.93;0.117;420;0.126;Under Ground;2.79;0.351;2.79;0.351;3.58;
1C x 35 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx35 2XWY;Copper;XLPE/EPR;0.668;0.112;470;0.177;Under Ground;2.004;0.336;2.004;0.336;5.01;
1C x 35 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx35 2XWY;Copper;XLPE/EPR;0.668;0.112;470;0.176;Under Ground;2.004;0.336;2.004;0.336;5.01;
1C x 35 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx35 2XWY;Copper;XLPE/EPR;0.668;0.112;470;0.15;Under Ground;2.004;0.336;2.004;0.336;5.01;
1C x 50 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx50 2XWY;Copper;XLPE/EPR;0.494;0.108;500;0.208;Under Ground;1.482;0.324;1.482;0.324;7.16;
1C x 50 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx50 2XWY;Copper;XLPE/EPR;0.494;0.108;500;0.212;Under Ground;1.482;0.324;1.482;0.324;7.16;
1C x 50 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx50 2XWY;Copper;XLPE/EPR;0.494;0.108;500;0.177;Under Ground;1.482;0.324;1.482;0.324;7.16;
1C x 70 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx70 2XWY;Copper;XLPE/EPR;0.342;0.1;550;0.255;Under Ground;1.026;0.3;1.026;0.3;10.02;
1C x 70 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx70 2XWY;Copper;XLPE/EPR;0.342;0.1;550;0.269;Under Ground;1.026;0.3;1.026;0.3;10.02;
1C x 70 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx70 2XWY;Copper;XLPE/EPR;0.342;0.1;550;0.217;Under Ground;1.026;0.3;1.026;0.3;10.02;
1C x 95 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx95 2XWY;Copper;XLPE/EPR;0.247;0.099;620;0.312;Under Ground;0.741;0.297;0.741;0.297;13.59;
1C x 95 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx95 2XWY;Copper;XLPE/EPR;0.247;0.099;620;0.34;Under Ground;0.741;0.297;0.741;0.297;13.59;
1C x 95 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx95 2XWY;Copper;XLPE/EPR;0.247;0.099;620;0.265;Under Ground;0.741;0.297;0.741;0.297;13.59;
1C x 120 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx120 2XWY;Copper;XLPE/EPR;0.196;0.0951;660;0.355;Under Ground;0.588;0.2853;0.588;0.2853;17.17;
1C x 120 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx120 2XWY;Copper;XLPE/EPR;0.196;0.0951;660;0.396;Under Ground;0.588;0.2853;0.588;0.2853;17.17;
1C x 120 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx120 2XWY;Copper;XLPE/EPR;0.196;0.0951;660;0.302;Under Ground;0.588;0.2853;0.588;0.2853;17.17;
1C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx150 2XWY;Copper;XLPE/EPR;0.159;0.0936;640;0.396;Under Ground;0.477;0.2808;0.477;0.2808;21.47;
1C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx150 2XWY;Copper;XLPE/EPR;0.159;0.0936;640;0.45;Under Ground;0.477;0.2808;0.477;0.2808;21.47;
1C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx150 2XWY;Copper;XLPE/EPR;0.159;0.0936;640;0.337;Under Ground;0.477;0.2808;0.477;0.2808;21.47;
1C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx185 2XWY;Copper;XLPE/EPR;0.128;0.0913;660;0.447;Under Ground;0.384;0.2739;0.384;0.2739;26.47;
1C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx185 2XWY;Copper;XLPE/EPR;0.128;0.0913;660;0.519;Under Ground;0.384;0.2739;0.384;0.2739;26.47;
1C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx185 2XWY;Copper;XLPE/EPR;0.128;0.0913;660;0.38;Under Ground;0.384;0.2739;0.384;0.2739;26.47;
1C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx240 2XWY;Copper;XLPE/EPR;0.0985;0.0887;700;0.515;Under Ground;0.2955;0.2661;0.2955;0.2661;34.34;
1C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx240 2XWY;Copper;XLPE/EPR;0.0985;0.0887;700;0.613;Under Ground;0.2955;0.2661;0.2955;0.2661;34.34;
1C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx240 2XWY;Copper;XLPE/EPR;0.0985;0.0887;700;0.438;Under Ground;0.2955;0.2661;0.2955;0.2661;34.34;
1C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx300 2XWY;Copper;XLPE/EPR;0.0796;0.0868;740;0.576;Under Ground;0.2388;0.2604;0.2388;0.2604;42.93;
1C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx300 2XWY;Copper;XLPE/EPR;0.0796;0.0868;740;0.7;Under Ground;0.2388;0.2604;0.2388;0.2604;42.93;
1C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx300 2XWY;Copper;XLPE/EPR;0.0796;0.0868;740;0.49;Under Ground;0.2388;0.2604;0.2388;0.2604;42.93;
1C x 400 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx400 2XWY;Copper;XLPE/EPR;0.0637;0.0861;750;0.651;Under Ground;0.1911;0.2583;0.1911;0.2583;57.24;
1C x 400 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx400 2XWY;Copper;XLPE/EPR;0.0637;0.0861;750;0.813;Under Ground;0.1911;0.2583;0.1911;0.2583;57.24;
1C x 400 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx400 2XWY;Copper;XLPE/EPR;0.0637;0.0861;750;0.553;Under Ground;0.1911;0.2583;0.1911;0.2583;57.24;
1C x 500 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx500 2XWY;Copper;XLPE/EPR;0.0515;0.0843;780;0.727;Under Ground;0.1545;0.2529;0.1545;0.2529;71.55;
1C x 500 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx500 2XWY;Copper;XLPE/EPR;0.0515;0.0843;780;0.93;Under Ground;0.1545;0.2529;0.1545;0.2529;71.55;
1C x 500 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx500 2XWY;Copper;XLPE/EPR;0.0515;0.0843;780;0.618;Under Ground;0.1545;0.2529;0.1545;0.2529;71.55;
1C x 630 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx630 2XWY;Copper;XLPE/EPR;0.0421;0.0829;820;0.806;Under Ground;0.1263;0.2487;0.1263;0.2487;90.15;
1C x 630 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx630 2XWY;Copper;XLPE/EPR;0.0421;0.0829;820;1.056;Under Ground;0.1263;0.2487;0.1263;0.2487;90.15;
1C x 630 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx630 2XWY;Copper;XLPE/EPR;0.0421;0.0829;820;0.685;Under Ground;0.1263;0.2487;0.1263;0.2487;90.15;
1C x 800 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 1C (In Ground);1Cx800 2XWY;Copper;XLPE/EPR;0.0354;0.0819;830;0.877;Under Ground;0.1062;0.2457;0.1062;0.2457;114.48;
1C x 800 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 1C (In Air);1Cx800 2XWY;Copper;XLPE/EPR;0.0354;0.0819;830;1.179;Under Ground;0.1062;0.2457;0.1062;0.2457;114.48;
1C x 800 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 1C (In Duct);1Cx800 2XWY;Copper;XLPE/EPR;0.0354;0.0819;830;0.745;Under Ground;0.1062;0.2457;0.1062;0.2457;114.48;
